DATE,DAY,MEMBERCOUNT
13.01.2025,0,0
14.01.2025,1,12
15.01.2025,2,25
16.01.2025,3,29
17.01.2025,4,32
18.01.2025,5,34
19.01.2025,6,37
20.01.2025,7,39
21.01.2025,8,40
22.01.2025,9,42
23.01.2025,10,42
24.01.2025,11,44
25.01.2025,12,44
26.01.2025,13,49
27.01.2025,14,50
28.01.2025,15,50
29.01.2025,16,48
30.01.2025,17,48
31.01.2025,18,48
01.02.2025,19,49
02.02.2025,20,51
03.02.2025,21,51
04.02.2025,22,53
05.02.2025,23,52
06.02.2025,24,53
07.02.2025,25,54
08.02.2025,26,54
09.02.2025,27,54
10.02.2025,28,54
11.02.2025,29,55
12.02.2025,30,56
13.02.2025,31,56
14.02.2025,32,57
15.02.2025,33,56
16.02.2025,34,57
17.02.2025,35,58
18.02.2025,36,59
19.02.2025,37,60
20.02.2025,38,60
21.02.2025,39,60
22.02.2025,40,60
23.02.2025,41,61
24.02.2025,42,62
25.02.2025,43,60
26.02.2025,44,64
27.02.2025,45,64
28.02.2025,46,65
01.03.2025,47,66
02.03.2025,48,66
03.03.2025,49,67
04.03.2025,50,67
05.03.2025,51,68
06.03.2025,52,69
07.03.2025,53,70
08.03.2025,54,70
09.03.2025,55,71
10.03.2025,56,70
11.03.2025,57,69
12.03.2025,58,69
13.03.2025,59,69
14.03.2025,60,69
15.03.2025,61,70
16.03.2025,62,71
17.03.2025,63,71
18.03.2025,64,71
19.03.2025,65,70
20.03.2025,66,71
21.03.2025,67,71
22.03.2025,68,71
23.03.2025,69,73
24.03.2025,70,72
25.03.2025,71,71
26.03.2025,72,70
27.03.2025,73,71
28.03.2025,74,71
29.03.2025,75,71
30.03.2025,76,71
31.03.2025,77,71
01.04.2025,78,72
02.04.2025,79,72
03.04.2025,80,72
04.04.2025,81,72
05.04.2025,82,71
06.04.2025,83,71
07.04.2025,84,71
08.04.2025,85,74
09.04.2025,86,74
10.04.2025,87,74
11.04.2025,88,74
12.04.2025,89,74
13.04.2025,90,74
14.04.2025,91,74
15.04.2025,92,75
16.04.2025,93,76
17.04.2025,94,77
18.04.2025,95,76
19.04.2025,96,77
20.04.2025,97,75
21.04.2025,98,74
22.04.2025,99,74
23.04.2025,100,75
24.04.2025,101,78
25.04.2025,102,79
26.04.2025,103,78
27.04.2025,104,79
28.04.2025,105,82
29.04.2025,106,81
30.04.2025,107,80
01.05.2025,108,82
02.05.2025,109,81
03.05.2025,110,82
04.05.2025,111,80
05.05.2025,112,82
06.05.2025,113,83
07.05.2025,114,83
08.05.2025,115,83
09.05.2025,116,83
10.05.2025,117,82
11.05.2025,118,85
12.05.2025,119,87
13.05.2025,120,89
14.05.2025,121,90
15.05.2025,122,89
16.05.2025,123,89
17.05.2025,124,90
18.05.2025,125,91
19.05.2025,126,92
20.05.2025,127,92
21.05.2025,128,94
22.05.2025,129,94
23.05.2025,130,95
24.05.2025,131,95
25.05.2025,132,96
26.05.2025,133,94
27.05.2025,134,96
